Goerkem,Görkem
Cueneyt,Cüneyt
Gueltekin,Gültekin
Kivilcim,Kıvılcım
Gulnur,Gülnur
Irem,İrem
Ilayda,İlayda
Kuebra,Kübra
Ayse,Ayşe
Sila,Sıla
Oguz,Oğuz
Nazli,Nazlı
Ozden,Özden
Seyma,Şeyma
Selcuk,Selçuk
Basak,Başak
Ismail,İsmail
Asli,Aslı
Yagmur,Yağmur
Ozcan,Özcan
Omuer,Ömür
Ipek,İpek
Tugrul,Tuğrul
Suemeyra,Sümeyra
Suemeyre,Sümeyre
Hueseyin,Hüseyin
Aslinur,Aslınur
Anil,Anıl
Guercan,Gürcan
Ayca,Ayça
Isik,Işık
Ozgenur,Özgenur
Ibrahim,İbrahim
Yagmur,Yağmur
Sadik,Sadık
Bugra,Buğra
Guerol,Gürol
Bahadir,Bahadır
Buesra,Büşra
Caglar,Çağlar
Kivanc,Kıvanç
Cetin,Çetin
Ozge,Özge
Ozlem,Özlem
Doga,Doğa
Cansin,Cansın
Orcun,Orçun
Cigdem,Çiğdem
Ozkan,Özkan
Yildiz,Yıldız
Cagdas,Çağdaş
Secil,Seçil
Omer,Ömer
Basar,Başar
Cagla,Çağla
Ugur,Uğur
Ilter,İlter
Ilten,İlten
Fatos,Fatoş
Baris,Barış
Umit,Ümit
Sevval,Şevval
Guelsah,Gülşah
Ayçan,Aycan
Sule,Şule
Yesim,Yeşim
Pinar,Pınar
Tugce,Tuğçe
Yigit,Yiğit
Ulas,Ulaş
Aytug,Aytuğ
Ulas,Ulaş
Sirin,Şirin
Dogukan,Doğukan
Guenes,Güneş
Aytac,Aytaç
Buesra,Büşra
Senguel,Şengül
Meliksah,Melikşah
Cim,Çim
Tugba,Tuğba
Cagin,Çağın
Kilicarslan,Kılıçarslan
Betuel,Betül
Buenyamin,Bünyamin
Tugan,Tuğan
Busra,Büşra
Yildirim,Yıldırım
Oznur,Öznur
Kagan,Kağan
Yucel,Yücel
Begum,Begüm
Senay,Şenay
Burcin,Burçin
Cagan,Çağan
Ayseguel,Ayşegül
Aysegul,Ayşegül
Ilknur,İlknur
Elcin,Elçin
Ozgül,Özgül
Oezgul,Özgül
